IM,NM,DR,RG,CM,TL,AT,Horario
1070,SALCOBRAND,apoquindo 5879,13,308,+560222200828,1,"{'semana': 'Lunes - Viernes: 08:30 a 22:00 hrs.<br>Sábado: 09:00 a 22:00 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>Festivos: 11:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 22:00 hrs.<br>', 'turno': ''}"
8007,SALCOBRAND,"camino los trapenses 2140, locales 104 a, b y c (núcleo los trapenses)",13,309,,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
3464,SALCOBRAND,av. granaderos nª 1474,2,16,+56552364481,1,"{'semana': 'Lunes - Viernes: 08:30 a 21:30 hrs.<br>Sábado: 09:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 08:30 a 21:30 hrs.<br>', 'turno': ''}"
3485,SALCOBRAND,m. a. matta nº 2503-2511,2,12,+56552287907,1,"{'semana': 'Lunes - Sábado: 09:00 a 22:30 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:30 hrs.<br>', 'turno': ''}"
3602,SALCOBRAND,aldunate 1447,4,31,,1,"{'semana': 'Lunes - Sábado: 09:00 a 22:00 hrs.<br>Domingo: 10:00 a 21:00 hrs.<br>Festivos: 10:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
1147,SALCOBRAND,las terrazas 1203 1205,13,308,+560222149954,1,"{'semana': 'Lunes - Viernes: 09:00 a 21:30 hrs.<br>Sábado: 10:00 a 21:00 hrs.<br>Domingo: 11:00 a 21:00 hrs.<br>Festivos: 11:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:30 hrs.<br>', 'turno': ''}"
1010,SALCOBRAND,av. vicuña mackenna 11091. strip center,13,304,+560222885778,1,"{'semana': 'Lunes - Sábado: 09:00 a 21:30 hrs.<br>Domingo: 10:00 a 16:00 hrs.<br>Festivos: 10:00 a 16:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:30 hrs.<br>', 'turno': ''}"
1781,SALCOBRAND,libertador bernardo o'higgins 1395,13,295,+560226718768,1,"{'semana': 'Lunes - Viernes: 09:00 a 20:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
129,SALCOBRAND,jorge montt n° 2300 las salinas,5,53,+56322691142,1,"{'semana': 'Lunes - Sábado: 09:00 a 20:00 hrs.<br>Domingo: 10:00 a 18:30 hrs.<br>Festivos: 10:00 a 18:30 hrs.<br>', 'dia': 'Viernes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
4269,SALCOBRAND,"rosario norte 532, local 103",13,308,+560267699211,1,"{'semana': 'Lunes - Viernes: 08:30 a 21:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
5536,SALCOBRAND,"diagonal rancagua 910, local 4 y 5",13,317,,1,"{'semana': 'Lunes - Viernes: 09:00 a 20:00 hrs.<br>Sábado - Domingo: 10:00 a 20:00 hrs.<br>Festivos: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
1970,SALCOBRAND,vitacura 3920,13,326,+560222074430,1,"{'semana': 'Lunes - Sábado: 08:30 a 23:00 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 23:00 hrs.<br>', 'turno': ''}"
1498,SALCOBRAND,avenida providencia 1364,13,317,+560223621683,1,"{'semana': 'Lunes - Viernes: 08:30 a 21:00 hrs.<br>Sábado: 09:00 a 16:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
1071,SALCOBRAND,camino las flores 12640,13,308,+560227150399,1,"{'semana': 'Lunes - Sábado: 09:00 a 22:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
2557,SALCOBRAND,o'higgins 581 local 1,13,319,+560224227100,1,"{'semana': 'Lunes - Sábado: 10:00 a 21:00 hrs.<br>Domingo: 11:00 a 21:00 hrs.<br>Festivos: 11:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 21:00 hrs.<br>', 'turno': ''}"
6029,SALCOBRAND,chacabuco 274 - 278,5,64,+564223300 ANEXO 5754,1,"{'semana': 'Lunes - Viernes: 09:00 a 20:00 hrs.<br>Sábado: 09:00 a 19:00 hrs.<br>Domingo: 10:00 a 18:00 hrs.<br>Festivos: 10:00 a 18:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
6533,SALCOBRAND,"avenida vitacura 2710, local 102",13,308,,1,"{'semana': 'Lunes - Viernes: 08:00 a 21:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 08:00 a 21:00 hrs.<br>', 'turno': ''}"
5331,SALCOBRAND,o'higgins 800,13,319,,1,"{'semana': 'Lunes - Domingo: 09:00 a 21:30 hrs.<br>Festivos: 09:00 a 21:30 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:30 hrs.<br>', 'turno': ''}"
4192,SALCOBRAND,manantiales 1021 - 1121 local 1b,5,47,+562818518,1,"{'semana': 'Lunes - Sábado: 09:00 a 18:30 hrs.<br>Domingo: 10:00 a 18:30 hrs.<br>Festivos: 10:00 a 18:30 hrs.<br>', 'dia': 'Viernes: 09:00 a 18:30 hrs.<br>', 'turno': ''}"
1281,SALCOBRAND,av. los pajaritos (ex-ramon freire) 1924,13,313,+5625322048,1,"{'semana': 'Lunes - Viernes: 08:00 a 20:30 hrs.<br>Sábado: 08:00 a 21:00 hrs.<br>Domingo: 09:00 a 20:00 hrs.<br>Festivos: 10:00 a 19:30 hrs.<br>', 'dia': 'Viernes: 08:00 a 20:30 hrs.<br>', 'turno': ''}"
4520,SALCOBRAND,"av. curauma norte 2961 local 3, valparaiso",5,45,+560224223300 anexo 5488,1,"{'semana': 'Lunes - Sábado: 09:00 a 20:00 hrs.<br>Domingo: 10:00 a 00:00 hrs.<br>Festivos: 10:00 a 00:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
3605,SALCOBRAND,v. mackenna 46,4,40,,1,"{'semana': 'Lunes - Domingo: 09:00 a 22:00 hrs.<br>Festivos: 09:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
1148,SALCOBRAND,manquehue norte 330,13,308,+560222129202,1,"{'semana': 'Lunes - Viernes: 08:30 a 23:00 hrs.<br>Sábado: 10:00 a 23:00 hrs.<br>Domingo: 08:30 a 23:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 23:00 hrs.<br>', 'turno': ''}"
9195,SALCOBRAND ,"avenida américo vespucio 1077, piso 2, interior ´clinica indisa maipu",13,313,,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
3627,SALCOBRAND,cordovez 601 - 607,4,30,,1,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
1011,SALCOBRAND,av. vicuña mackenna 6100. mall florida center. local 3107,13,304,+560222946684,1,"{'semana': 'Lunes - Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 22:00 hrs.<br>', 'turno': ''}"
1782,SALCOBRAND,libertador bernardo o'higgins 20,13,295,+560224202573,1,"{'semana': 'Lunes - Sábado: 08:30 a 22:30 hrs.<br>Domingo: 10:00 a 21:00 hrs.<br>Festivos: 10:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 22:30 hrs.<br>', 'turno': ''}"
