IM,NM,DR,RG,CM,TL,AT,Horario
3123, FARMACIA LA BOTIKA,maipu n° 421,3,21,+56522215236,0,"{'semana': 'Lunes - Viernes: 09:00 a 21:30 hrs.<br>Sábado: 10:00 a 21:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:30 hrs.<br>', 'turno': ''}"
6013,24 HORAS,21 de mayo 497,15,1,+562252778,0,"{'semana': 'Lunes - Domingo: 00:00 a 24:00 hrs.<br>Festivos: 00:00 a 24:00 hrs.<br>', 'dia': 'Viernes: 00:00 a 24:00 hrs.<br>', 'turno': ''}"
9239,24 HORAS,18 de septiembre 1061,15,1,,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5263,24 HORAS,chacabuco 410,15,1,+5654133074,0,"{'semana': 'Lunes - Viernes: 08:00 a 23:00 hrs.<br>Sábado - Domingo: 09:00 a 23:00 hrs.<br>Festivos: 09:00 a 23:00 hrs.<br>', 'dia': 'Viernes: 08:00 a 23:00 hrs.<br>', 'turno': ''}"
3247,AHUMADA,21 de mayo 359,15,1,+562256659,1,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 16:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
3252,AHUMADA,18 de septiembre 1402,15,1,+562231724,1,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado: 10:00 a 21:00 hrs.<br>Domingo: 10:00 a 20:00 hrs.<br>Festivos: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
4091,AHUMADA,av. pedro aguirre cerda nº9400,2,12,,1,"{'semana': 'Lunes - Sábado: 10:00 a 19:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 19:30 hrs.<br>', 'turno': ''}"
8070,AMAUTA,21 de mayo 780,15,1,+56982933803,0,"{'semana': 'Lunes - Viernes: 07:15 a 21:00 hrs.<br>Domingo: 10:30 a 17:00 hrs.<br>Sábado: Cerrado<br>Festivos: 10:30 a 17:00 hrs.<br>', 'dia': 'Viernes: 07:15 a 21:00 hrs.<br>', 'turno': ''}"
4580,ANGEL,21 de mayo 632,15,1,+56582431036,0,"{'semana': 'Lunes - Viernes: 10:30 a 20:30 hrs.<br>Sábado: 11:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:30 a 20:30 hrs.<br>', 'turno': ''}"
9136,ARUMI,21 de mayo 200,15,1,+56941146540,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
5464,ARUMI,"juan de dios flores 1281, local 48",15,1,+56944809504,0,"{'semana': 'Lunes - Viernes: 09:00 a 18:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 18:00 hrs.<br>', 'turno': ''}"
7605,ATIKA,"doctor juan noe 701 - 711, oficina 1",15,1,,0,"{'semana': 'Lunes - Viernes: 10:00 a 18:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 18:00 hrs.<br>', 'turno': ''}"
5036,BRUNOFARMA,lautaro 1042,15,1,+562252065,1,"{'semana': 'Lunes - Viernes: 10:00 a 20:00 hrs.<br>Sábado: 11:00 a 19:00 hrs.<br>Domingo: 10:00 a 15:00 hrs.<br>Festivos: 10:00 a 15:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
6920,CALIDAD TOTAL,tucapel 2324,15,1,,0,"{'semana': 'Lunes - Viernes: 10:00 a 14:00 y 17:00 a 20:00 hrs.<br>Sábado: 10:30 a 14:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 17:00 a 20:00 hrs.<br>', 'turno': ''}"
4456,CAPSULA FARMA,aníbal pinto 1514,15,1,,0,"{'semana': 'Lunes - Sábado: 10:30 a 13:00 y 17:00 a 21:30 hrs.<br>Domingo: 10:30 a 13:00 y 20:00 a 21:30 hrs.<br>', 'dia': 'Viernes: 10:30 a 13:00 y 17:00 a 21:30 hrs.<br>', 'turno': ''}"
9380,COLÓN,chacabuco 320,15,1,+56+569922495362,0,"{'semana': 'Lunes - Sábado: 08:00 a 14:00 y 15:00 a 23:00 hrs.<br>Domingo: Cerrado<br>Festivos: 09:00 a 14:00 y 15:00 a 23:00 hrs.<br>', 'dia': 'Viernes: 08:00 a 14:00 y 15:00 a 23:00 hrs.<br>', 'turno': ''}"
3386,CONCEPCION,cristóbal colón 517,15,1,+562232180,0,"{'semana': 'Lunes - Sábado: 09:00 a 14:00 y 17:00 a 22:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 14:00 y 17:00 a 22:00 hrs.<br>', 'turno': ''}"
7828,COOPERCARAB ANTOFAGASTA,"avda pedro aguirre cerda 8251 local 01, tercer piso",2,12,+565555233039861,0,"{'semana': 'Lunes - Viernes: 10:00 a 18:30 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 18:30 hrs.<br>', 'turno': ''}"
4082,COSMOFARMA,cobija nº 2188,2,16,+565578599424,0,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
6031,CRONOFARMA,avenida capitán ávalos 2616,15,1,+56983815874,0,"{'semana': 'Lunes - Viernes: 10:00 a 21:00 hrs.<br>Sábado: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 21:00 hrs.<br>', 'turno': ''}"
7002,CRONOFARMA,josé victorino lastarria 1219,15,1,,0,"{'semana': 'Lunes - Viernes: 09:00 a 18:00 hrs.<br>Sábado: 10:00 a 13:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 18:00 hrs.<br>', 'turno': ''}"
3328,CRUZ DEL SUR,"avenida los aromos, parcela 29, local8",1,11,+56572495237,0,"{'semana': 'Lunes - Domingo: 10:00 a 16:00 hrs.<br>Festivos: 10:00 a 16:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 16:00 hrs.<br>', 'turno': ''}"
